location,current_speed,free_flow_speed,incident_count,temperature,wind_speed,weather_condition,congestion_level
Las Vegas,18.0,23.0,0,16.39,3.09,cloudy,Medium
Memphis,20.0,20.0,0,13.5,3.09,cloudy,Low
Louisville,18.0,18.0,0,10.31,4.12,rain,Low
Baltimore,16.0,16.0,0,19.47,3.09,rain,Low
Milwaukee,23.0,23.0,0,10.26,6.69,clear,Low
Albuquerque,17.0,17.0,0,13.73,2.06,cloudy,Low
Tucson,41.0,41.0,0,20.48,3.6,clear,Low
Fresno,31.0,31.0,0,11.45,3.09,cloudy,Low
Sacramento,32.0,32.0,0,11.71,3.6,cloudy,Low
Kansas City,20.0,20.0,0,12.5,0.45,clear,Low
Atlanta,27.0,27.0,0,14.17,5.14,cloudy,Low
Miami,7.0,7.0,0,28.29,5.14,cloudy,Low
Orlando,14.0,14.0,0,21.55,5.14,502,Low
Tampa,15.0,20.0,0,24.89,5.14,cloudy,Medium
Minneapolis,14.0,14.0,0,16.88,2.06,clear,Low
St. Louis,46.0,46.0,0,11.95,5.14,clear,Low
Cleveland,20.0,20.0,0,10.53,4.63,cloudy,Low
Cincinnati,33.0,33.0,0,9.89,2.57,mist,Low
Pittsburgh,11.0,14.0,1,16.68,0.45,cloudy,Medium
Paris,9.0,15.0,0,15.81,7.72,cloudy,Medium
London,8.0,12.0,0,12.71,5.66,partly cloudy,Medium
Berlin,16.0,21.0,0,13.66,6.71,clear,Medium
Amsterdam,21.0,30.0,0,12.35,6.69,partly cloudy,Medium
Madrid,11.0,11.0,0,15.25,7.72,cloudy,Low
Rome,29.0,29.0,0,20.47,5.14,rain,Low
Barcelona,29.0,29.0,0,20.96,5.66,mist,Low
Lisbon,24.0,24.0,0,18.01,7.2,partly cloudy,Low
Warsaw,14.0,14.0,0,15.78,9.26,clear,Low
Vienna,39.0,39.0,0,15.51,4.12,cloudy,Low
Prague,42.0,42.0,0,14.04,4.63,clear,Low
Brussels,16.0,16.0,0,13.2,5.14,partly cloudy,Low
Dublin,12.0,27.0,0,12.1,6.71,cloudy,High
Oslo,0.0,0.0,1,12.16,2.68,partly cloudy,High
Stockholm,26.0,26.0,0,6.63,7.2,cloudy,Low
Copenhagen,24.0,34.0,0,10.79,7.72,partly cloudy,Medium
Helsinki,18.0,23.0,0,7.41,8.05,rain,Medium
Bucharest,21.0,21.0,0,28.58,5.81,clear,Low
Budapest,22.0,35.0,0,21.11,3.6,clear,Medium
Athens,15.0,31.0,0,24.49,5.66,partly cloudy,High
Istanbul,44.0,52.0,0,18.23,2.57,clear,Low
